Date,Log M4 including Treasuries,Log Total Assets,Effective Federal Funds Rate (%),Loss Function,Log Currency in Circulation ($ Bil)
1/31/2010,7.069,14.629,0.11,-33.736,6.83
2/28/2010,7.063,14.634,0.126,-33.731,6.83
3/31/2010,7.054,14.648,0.165,-34.86,6.84
4/30/2010,7.058,14.661,0.198,-34.969,6.84
5/31/2010,7.061,14.664,0.201,-31.492,6.84
6/30/2010,7.049,14.665,0.177,-29.357,6.85
7/31/2010,7.062,14.662,0.183,-29.441,6.85
8/31/2010,7.068,14.656,0.189,-30.589,6.85
9/30/2010,7.069,14.649,0.195,-30.743,6.86
10/31/2010,7.079,14.65,0.191,-30.008,6.87
11/30/2010,7.075,14.656,0.194,-34.412,6.88
12/31/2010,7.069,14.688,0.183,-28.982,6.89
1/31/2011,7.065,14.709,0.168,-26.776,6.89
2/28/2011,7.065,14.733,0.157,-25.619,6.89
3/31/2011,7.069,14.766,0.139,-25.617,6.91
4/30/2011,7.082,14.799,0.098,-26.376,6.92
5/31/2011,7.091,14.827,0.094,-25.227,6.92
6/30/2011,7.083,14.856,0.092,-26.182,6.93
7/31/2011,7.085,14.87,0.071,-25.071,6.94
8/31/2011,7.082,14.867,0.096,-25.026,6.94
9/30/2011,7.08,14.866,0.084,-25.022,6.95
10/31/2011,7.08,14.864,0.071,-23.105,6.95
11/30/2011,7.082,14.854,0.081,-21.19,6.96
12/31/2011,7.078,14.877,0.072,-20.251,6.97
1/31/2012,7.087,14.885,0.082,-18.486,6.98
2/29/2012,7.091,14.89,0.104,-18.489,6.98
3/31/2012,7.092,14.876,0.127,-17.638,7
4/30/2012,7.097,14.869,0.139,-17.641,7
5/31/2012,7.097,14.865,0.156,-17.67,7.01
6/30/2012,7.106,14.868,0.162,-17.673,7.01
7/31/2012,7.113,14.866,0.156,-17.691,7.02
8/31/2012,7.115,14.858,0.132,-16.943,7.02
9/30/2012,7.123,14.852,0.144,-14.535,7.03
10/31/2012,7.124,14.854,0.158,-14.452,7.03
11/30/2012,7.132,14.866,0.161,-13.737,7.05
12/31/2012,7.144,14.881,0.165,-15.307,7.05
1/31/2013,7.147,14.903,0.143,-16.165,7.06
2/28/2013,7.144,14.937,0.145,-13.871,7.06
3/31/2013,7.141,14.97,0.144,-12.504,7.07
4/30/2013,7.148,14.999,0.145,-13.296,7.07
5/31/2013,7.146,15.026,0.109,-12.578,7.08
6/30/2013,7.148,15.051,0.094,-12.511,7.08
7/31/2013,7.148,15.079,0.093,-11.127,7.09
8/31/2013,7.15,15.105,0.083,-10.427,7.09
9/30/2013,7.155,15.122,0.08,-10.438,7.1
10/31/2013,7.159,15.151,0.087,-10.465,7.1
11/30/2013,7.159,15.176,0.084,-8.575,7.11
12/31/2013,7.163,15.2,0.085,-7.407,7.12
1/31/2014,7.157,15.218,0.072,-6.97,7.12
2/28/2014,7.165,15.235,0.066,-7.558,7.12
3/31/2014,7.168,15.251,0.078,-7.465,7.14
4/30/2014,7.165,15.267,0.09,-4.932,7.15
5/31/2014,7.17,15.279,0.087,-5.345,7.15
6/30/2014,7.171,15.286,0.096,-4.49,7.15
7/31/2014,7.172,15.296,0.091,-4.891,7.16
8/31/2014,7.173,15.301,0.088,-4.503,7.16
9/30/2014,7.173,15.305,0.088,-3.696,7.16
10/31/2014,7.176,15.313,0.089,-3.065,7.17
11/30/2014,7.175,15.317,0.092,-3.477,7.18
12/31/2014,7.184,15.319,0.123,-2.841,7.19
1/31/2015,7.186,15.321,0.115,-3.303,7.2
2/28/2015,7.193,15.319,0.111,-2.615,7.2
3/31/2015,7.195,15.317,0.113,-2.37,7.21
4/30/2015,7.194,15.316,0.125,-2.398,7.22
5/31/2015,7.196,15.315,0.123,-3.072,7.22
6/30/2015,7.198,15.315,0.129,-2.194,7.22
7/31/2015,7.208,15.317,0.13,-2.09,7.22
8/31/2015,7.213,15.316,0.138,-1.804,7.23
9/30/2015,7.208,15.316,0.136,-1.586,7.23
10/31/2015,7.208,15.319,0.124,-1.709,7.24
11/30/2015,7.217,15.317,0.118,-1.921,7.25
12/31/2015,7.221,15.317,0.241,-1.759,7.25
1/31/2016,7.226,15.317,0.343,-1.08,7.26
2/29/2016,7.234,15.316,0.375,-1.177,7.26
3/31/2016,7.239,15.316,0.362,-1.379,7.27
4/30/2016,7.242,15.317,0.365,-1.494,7.28
5/31/2016,7.246,15.313,0.365,-0.893,7.28
6/30/2016,7.254,15.313,0.378,-1.062,7.28
7/31/2016,7.254,15.313,0.392,-0.815,7.29
8/31/2016,7.26,15.312,0.397,-0.901,7.29
9/30/2016,7.26,15.312,0.396,-1.1,7.29
10/31/2016,7.262,15.311,0.396,-0.842,7.3
11/30/2016,7.268,15.309,0.407,-0.547,7.31
12/31/2016,7.271,15.311,0.54,-0.519,7.31
1/31/2017,7.273,15.309,0.65,-0.5,7.32
2/28/2017,7.275,15.31,0.657,-0.373,7.32
3/31/2017,7.278,15.312,0.786,-0.255,7.33
4/30/2017,7.285,15.314,0.896,-0.249,7.34
5/31/2017,7.289,15.313,0.907,-0.281,7.34
6/30/2017,7.292,15.313,1.04,-0.182,7.35
7/31/2017,7.295,15.313,1.151,-0.26,7.35
8/31/2017,7.301,15.311,1.157,-0.405,7.36
9/30/2017,7.308,15.311,1.153,-0.263,7.36
10/31/2017,7.311,15.311,1.154,-0.133,7.37
11/30/2017,7.316,15.309,1.157,-0.132,7.37
12/31/2017,7.319,15.308,1.302,-0.088,7.38
1/31/2018,7.322,15.306,1.415,-0.072,7.38
2/28/2018,7.323,15.301,1.418,-0.056,7.39
3/31/2018,7.328,15.297,1.506,0.007,7.4
4/30/2018,7.33,15.293,1.692,0,7.4
5/31/2018,7.334,15.284,1.7,0.052,7.41
6/30/2018,7.339,15.278,1.82,0.005,7.42
7/31/2018,7.342,15.271,1.91,0.056,7.42
8/31/2018,7.345,15.26,1.915,0.041,7.42
9/30/2018,7.347,15.252,1.955,0.092,7.43
10/31/2018,7.35,15.243,2.188,0.035,7.43
11/30/2018,7.351,15.232,2.198,0.044,7.44
12/31/2018,7.359,15.222,2.274,0.013,7.44
1/31/2019,7.363,15.214,2.4,-0.028,7.44
2/28/2019,7.367,15.202,2.4,-0.07,7.44
3/31/2019,7.371,15.193,2.405,-0.151,7.45
4/30/2019,7.375,15.185,2.424,0.064,7.45
5/31/2019,7.38,15.169,2.391,0.011,7.46
6/30/2019,7.386,15.162,2.378,0.08,7.46
7/31/2019,7.39,15.152,2.403,0.019,7.47
8/31/2019,7.397,15.143,2.126,0.068,7.47
9/30/2019,7.404,15.153,2.043,0.167,7.47
10/31/2019,7.413,15.194,1.83,0.08,7.48
11/30/2019,7.42,15.212,1.553,-0.027,7.49
12/31/2019,7.424,15.23,1.551,0.029,7.49
